RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
"New York, NY",msa,NY,223829,225167,226370,228739,230944,233292,235759,238313,240875,243409,245846,248127,250322,252738,255101,257567,259905,262433,264892,267552,270245,273217,275953,278594,281262,283860,286390,288830,291411,294339,297491,301386,305464,309537,313149,316803,320480,324258,328310,332080,335928,339615,343515,347270,350691,353880,356858,359764,363027,366281,369767,373125,377139,381429,386184,390928,395848,400724,405324,409534,413513,417454,421559,426465,431698,436856,441602,446371,451232,456212,460595,464905,468585,472445,475488,478302,480675,482987,484445,484890,484348,482993,481279,479412,477760,476612,476669,476464,476240,474635,472794,470959,468983,467735,466259,464847,463518,462034,460015,457799,454478,451467,448068,445094,441878,438346,434678,431278,427634,424187,420864,417618,414980,412175,409638,406796,404681,403089,402182,401609,401500,401791,401611,401565,401260,401842,402249,402301,401534,400026,398176,396055,394696,393612,393115,391963,390740,388933,387285,385604,384001,382359,380566,379029,377608,376320,375257,374555,374288,374257,374048,373719,373341,373050,373207,373633,374295,375186,376293,378016,379996,381900,383612,385075,386626,388331,390121,391687,393547,395223,397180,398893,400591,401995,402842,403448,403961,404439,404860,405504,406205,407209,407912,409128,410226,411501,412205,412566,412980,413472,414719,415658,416409,417026,418117,419800,421376,422615,423572,424416,425352,426472,427759,429178,431059,432694,434781,436478,439058,441284,443634,445530,447359,449064,450718,452408,454520,457119,460054,463069,465435,467083,467789,468489,469664,471353,473191,474749,475759,476633,477527,478526,479209,479406,479375,479103,478639,478104,477810,478346,479372,480845,482259,483746,484553,485107,486320,488901,493392,498862,504872,510680,515509,520237,524593,529323,534822,541972,549885,557464,563354,567893,571440,574669,578616,583239,589646,596752,604240,610227,614532,616809,617791,618270
"Los Angeles, CA",msa,CA,229755,230555,231780,234110,236608,238967,241382,243917,246332,248540,250584,252737,254392,256184,258094,260756,263367,265775,268237,270805,273467,276107,278407,280826,282821,285172,287972,291534,295586,299718,304920,310338,315853,320779,325669,330502,334570,338328,342485,347133,352926,357507,363488,369738,377147,383259,389200,395135,402120,409775,418451,428431,440669,452720,463403,472219,481095,489827,495591,501519,506804,514160,521883,529819,537456,544627,553069,562060,571297,580680,587020,593577,599127,604549,609483,613607,618799,622714,623953,625375,623616,623767,622551,622595,622754,622454,621367,619449,616000,612816,606897,600487,592627,585185,579571,572521,566218,556720,546344,532396,518122,504959,493013,482461,474978,467541,459510,448828,441206,437067,434109,431096,428102,424447,421928,420272,420375,421042,423919,428692,430618,430106,430370,433303,437025,436271,433699,429021,424927,420849,417150,415834,415123,415521,413770,412010,407122,405924,404739,402769,398387,394310,393865,394088,393472,392738,392065,392575,393650,395315,397895,399923,402304,405951,410288,416694,422990,432145,441117,450911,458971,467382,474713,482426,488908,494059,499759,504786,510433,512895,513864,513157,513181,513322,514163,512731,512275,512758,515924,519680,524244,529151,532990,534392,536291,538242,539428,540832,542837,547120,550462,556245,560132,564378,566151,569359,572471,575357,576102,577719,579965,584494,588202,591013,595439,598479,601816,603376,606536,610282,611827,613517,615705,620447,626340,631491,636372,641514,646508,651028,653563,656411,656840,657712,658160,661397,663239,662731,661577,659441,658107,657679,658641,659652,658723,659443,662139,666413,668413,670212,673170,679229,686147,691238,689341,686459,688189,697304,707853,717755,725198,731494,736598,744041,751863,762839,778409,798094,818866,832227,841282,846012,853172,862413,873128,885390,902775,921916,938423,939761,936625,922542,912931,903359
"Chicago, IL",msa,IL,168751,169149,169664,170696,171789,172872,174070,175414,176804,178170,179412,180626,181763,182769,183909,185031,186413,187691,188982,190289,191609,193020,194191,195249,196153,197205,198474,199540,200735,201829,203294,204792,206240,207571,208524,209675,210785,212133,213346,214734,215928,217019,218029,219329,220793,222178,223404,224501,225832,227099,228398,229855,231462,233325,235007,236723,238168,239685,241199,242928,244523,246219,247874,249772,251746,253758,255605,257360,259248,261102,262697,264229,265716,267189,268683,269974,271398,272210,272899,273358,273715,273865,273946,274210,274787,275337,275697,275640,275325,274831,274180,273493,272404,271340,270322,269091,267846,,,261541,,258237,257266,253882,251814,248129,245184,241251,236918,233899,230708,229444,227185,225815,224230,222797,220334,218160,216022,215385,214270,213979,212473,213051,212281,213035,210519,209132,206409,204705,201796,199300,197038,195285,194174,192601,191917,190467,190039,188673,187530,185089,183682,181430,180345,178215,178068,177747,178202,178079,177269,176448,175486,175833,176221,176529,177257,178327,179308,180599,181829,183900,185563,187610,189203,191365,192335,193668,194405,195894,196666,197127,197796,198890,199760,199970,200298,200551,201006,201533,202024,202655,203548,204821,205778,205825,205791,205616,205635,205628,205855,206701,207778,209581,210911,211871,212330,212697,213318,213766,214220,214722,215739,217227,219070,220750,222531,223809,224766,224909,224987,225146,225791,226687,227818,229242,230831,232174,232968,233448,233897,234327,234735,235031,235673,236172,236940,237554,238083,238819,239280,239784,239841,239770,239730,239661,239658,239551,239559,239770,240247,240850,241375,241501,241335,241305,242309,243960,246821,249654,252432,254639,256158,258463,260559,263577,266308,270098,274232,278316,281365,284004,286679,289378,291994,294542,297812,301254,305188,308150,309985,310305,310604,311225
"Dallas, TX",msa,TX,129057,129160,129246,129456,129676,129859,130056,130420,130871,131396,131875,132364,132575,132256,131978,131860,132076,132142,132214,132505,132731,132931,132980,133125,133265,133556,133926,134465,134956,135636,136243,136876,137327,137740,138127,138487,138756,138897,139083,139278,139458,139651,139714,139879,140048,140318,140527,140538,141291,142768,,147046,148092,148437,148577,148956,149295,149662,149890,150064,150775,151109,151497,151641,152103,152569,152835,153150,153481,153488,153588,153442,153457,153687,154003,154605,155252,155874,156196,156309,156543,157304,157778,158283,157941,157504,157048,157255,157726,158147,158512,158909,159486,159820,160020,160181,159211,157947,156395,155827,155429,155155,155027,154474,153595,152473,151623,151073,150655,150706,150861,151175,151373,151327,151381,151140,151105,150998,151515,151899,151856,151599,151371,151721,151849,151898,151344,150529,149487,148591,147671,147160,146736,146236,145750,145059,144670,144093,144020,143874,143942,143804,143639,143242,142947,143329,143908,144584,145041,145613,146333,146763,147126,147445,148111,148781,149567,150245,151187,152147,153215,154315,155481,156410,157439,158586,159967,161196,162143,163193,164152,165110,165998,167080,167824,168558,169080,170067,171329,172767,174355,175901,177605,179314,181095,182881,184624,185784,186835,188002,189643,191523,193150,194841,196356,198162,200066,201892,203768,205097,206542,208060,210011,212078,213872,215736,217168,218793,220263,221825,223100,224364,225962,227774,229591,231215,233008,234989,236927,238451,239602,240717,241690,242891,243894,244967,246009,247309,249002,250124,250758,250801,250922,250925,250998,251687,252832,253385,253633,253530,254522,255457,256700,257308,257717,258317,259360,261690,264260,267328,269686,272258,274557,277900,281879,287348,293696,300946,308672,316490,323606,329621,335031,340847,348182,356594,364599,373983,382587,390056,392235,391300,389607,389737
"Houston, TX",msa,TX,126120,126198,126079,126198,126205,126407,126536,126814,127170,127404,127922,128397,128647,128629,128172,127973,127915,128109,128273,128163,128258,128411,128632,128745,128878,129115,129666,130297,130897,131402,131910,132564,133098,133515,133791,134037,134418,134743,135147,135384,135620,135818,136035,136295,136455,136657,136803,137046,137517,138621,,141734,143058,143437,144424,144935,145781,146440,147094,147861,148552,149269,149807,150244,150436,150672,150779,150795,150732,150614,150771,150826,150996,150959,151174,151479,152160,152679,153268,153776,154432,155169,155788,156473,156798,156798,156591,156822,157355,158068,158468,158941,159278,159625,159834,160092,159582,159066,158467,158435,158196,157891,157625,156986,156176,155423,154520,153588,152606,152496,152525,152768,153010,153493,154076,154206,153998,153530,153530,153736,153734,153835,154184,154772,155144,154942,154094,152723,151581,150761,150267,149763,149187,148556,147698,147065,146574,146295,146175,146094,145894,145603,144734,144161,143969,144333,144926,145335,145852,146186,146735,147234,147570,147598,147892,148233,149041,150028,151655,153358,154957,156211,157486,158824,160176,161580,162882,164105,165495,166971,168207,169121,169953,171217,172594,174194,175735,177155,178490,179882,181435,182877,184497,185917,187318,188444,189166,189647,190141,191053,191910,192710,193728,194617,195169,195367,195950,196663,197356,197618,197878,198174,199129,200219,200885,201413,201937,202630,203077,203537,203813,204051,204369,204966,205716,206415,207086,207577,208083,209036,210046,210956,211528,212437,213414,214430,215215,215917,216888,217730,218220,218244,218342,218770,219243,219686,219991,220720,221450,222099,222049,222278,222878,223908,224500,224912,225368,226404,228324,230479,232880,235127,237440,240067,241968,244424,247592,252855,258663,264666,269538,273831,276995,280411,283863,288169,293517,299510,305080,309261,311856,313097,313460,314051
"Washington, DC",msa,VA,190816,191060,191434,192230,193336,194552,196066,197702,199338,200975,202575,204444,206093,207598,209208,211243,213572,215932,218321,220785,223184,225447,227727,229995,232060,233997,236107,238673,241623,244816,248273,251887,255303,258397,261100,263774,266113,268862,271749,275048,278302,281759,285350,288884,292493,296108,299495,302613,305512,309097,313143,318131,323782,330254,337668,345081,352545,358476,363652,368783,374685,380509,386621,393890,402390,410686,418288,424941,431483,437290,441914,446151,449782,453593,457483,460738,463182,464044,464309,463779,461512,458398,455957,454479,453217,451882,450711,450200,448952,446276,442748,439121,436243,432694,428836,424259,420124,415554,410267,404430,397734,391482,384947,379007,372825,367419,362789,358925,354547,350315,346329,343166,341231,339810,338378,336583,334580,333494,333474,334684,336474,337414,338712,340071,341817,342051,341046,339335,337925,336720,335307,334333,333967,334782,335145,335294,334366,333890,332660,331573,330005,329054,329143,329290,329586,330104,331691,333194,334277,335230,336290,337140,337847,339379,341843,344586,347525,350204,352735,354904,357103,358995,360871,362814,365703,368552,371468,373328,375149,377075,378747,379919,379730,379257,378897,378411,378452,378594,379060,379359,379153,379830,380603,380892,380613,380204,380001,379583,379514,380132,380879,381920,382759,383024,383188,383952,385308,386125,386518,386777,387844,388918,390179,391661,393730,396356,397748,398486,398007,398334,398713,400046,401392,403247,405134,406361,407256,408193,409728,411380,413002,414433,415560,416372,417106,418144,419105,420740,422422,424351,425621,426392,426686,426938,426860,427718,428999,430964,432740,434150,435147,436255,437571,439473,440537,442131,444758,448802,453456,458054,462876,467472,471946,476725,482483,489237,496367,503066,508059,511626,514058,516905,519790,523165,526911,531916,537483,542849,547203,549488,550129,549088,549085,550214
"Miami, FL",msa,FL,124009,124466,124874,125679,126341,127013,127716,128459,129246,130019,130859,131764,132630,133559,134674,135918,137357,138805,140511,142402,144383,146400,148123,149743,151190,152608,153941,155410,156956,158597,160334,162331,164201,165997,167569,169602,171612,173720,175854,178131,180492,182629,184738,186931,189316,191655,193948,195945,198248,200385,202842,205289,208492,212012,215850,219886,223944,227939,231624,235664,239521,243745,248314,253388,259106,265197,271987,278528,284828,290288,295098,299408,303722,307528,311857,317311,322656,327257,329965,331844,332857,333108,333636,333572,333056,332182,330300,327986,325048,321976,318324,314330,309983,306330,301646,297205,290951,285435,278648,272984,266778,261528,255330,248581,241335,234169,227656,221860,216504,211879,207006,202633,197915,194195,190798,188023,185456,183673,182300,180831,179950,179517,179618,179325,178599,177159,175747,174193,172855,170928,169369,167965,166655,165441,164359,163661,162694,161601,160486,159812,159452,159367,159483,159582,159981,160047,160497,160914,161721,162561,163461,164788,166458,168146,169602,171163,173310,175828,178560,181411,184123,186265,188710,191330,194409,197292,200827,204272,207617,209856,211918,212915,214397,215547,217432,218853,220351,221965,222997,224431,225598,227354,228420,229604,230536,231740,232731,233926,235488,236944,238854,240602,242528,244045,245230,246456,247787,249653,251603,253303,254581,255936,257537,259375,260828,262107,262924,264142,265358,266683,267863,269422,270855,272618,273679,275136,276032,277703,279489,281062,282744,284194,285895,286969,287809,288564,290446,292091,293720,293895,294433,294835,295113,295630,295934,296053,295983,296560,297307,297727,298465,300498,302415,304030,305040,305863,306496,307846,310134,312854,315362,318361,321641,324631,328429,332039,337679,343844,351144,358483,366522,374621,382198,389367,397307,404813,414917,425480,438815,450452,461025,467548,471477,472926
"Philadelphia, PA",msa,PA,129363,129797,130057,130705,131228,131821,132364,132943,133587,134253,134858,135394,135937,136590,137340,138118,138839,139597,140470,141434,142462,143395,144386,145154,145972,146745,147733,148839,149970,151243,152584,154287,156088,157881,159378,160905,162322,163754,165081,166615,168323,170193,172213,174314,176437,178349,180133,181631,183107,184535,186182,188040,190306,192907,195835,198962,201746,204065,205995,208158,210518,212562,214496,216526,219231,222270,225462,228496,231265,233992,236356,238566,240159,241735,243281,245126,246965,248666,250043,250931,251385,251613,251587,251398,251066,251019,251527,252099,252946,253301,253519,253017,252369,251925,251532,251038,250066,249703,249586,249735,249025,247789,246044,244236,242299,240471,238852,237375,235998,235049,234643,234417,233879,233011,231833,230747,229700,229278,229231,229315,229494,229530,229714,229921,230249,230388,229930,228768,227067,225185,223311,221821,220707,220030,219415,218459,217080,215455,213990,212809,211647,210580,209608,208883,208127,207416,207125,207107,207050,206567,205877,205205,204799,204476,204394,204316,204612,204932,205484,206093,206992,207927,208818,209384,209996,210435,211003,211345,211932,212498,212869,212720,212734,212904,213187,213054,212880,212803,212979,213305,213625,213880,214233,214734,215010,215108,215153,215416,215622,215648,215626,215640,215896,216269,216550,216962,217385,218141,218648,219181,219614,220309,221025,222027,223110,224031,224704,225282,225915,226396,226728,227210,227867,228886,229912,231046,231965,233175,234639,236137,237114,237619,238088,238619,239411,240142,241192,242194,243225,243972,244831,245485,246113,246338,246769,247216,247688,248101,248604,249480,250402,251398,251899,252922,253731,255046,256660,259260,262408,266072,269578,273244,276461,279567,282654,285967,290301,295115,299629,303237,306090,308535,311007,313278,315817,318354,321591,325254,329559,333030,335648,336720,337877,339475
"Atlanta, GA",msa,GA,153279,153790,154314,155376,156414,157440,158407,159458,160522,161665,162675,163777,164773,165756,166597,167405,168240,169020,169783,170558,171342,172105,172807,173504,174166,174866,175461,176082,176588,177096,177498,177921,178352,178826,179235,179571,179916,180244,180645,180978,181300,181592,181859,182225,182575,182919,183190,183535,183796,184111,184404,184915,185369,185763,186108,186599,187122,187663,188060,188481,188952,189502,190019,190599,191295,192083,192737,193355,193963,194598,195208,195816,196439,197019,197490,197986,198499,199140,199860,200514,201006,201326,201531,201870,202126,202456,202813,203257,203681,203921,204074,204004,203630,203028,202122,201347,199988,198598,196912,195840,194881,193895,192597,191085,189474,187581,184999,181729,178461,175645,173298,170943,168740,166923,165661,164670,163573,162333,161251,160569,159746,159042,158445,158507,158539,158284,156845,154944,152427,150447,148382,146617,144735,143309,141770,140080,137801,135739,134140,133405,133168,133072,132766,131663,130929,130302,131032,131758,132753,133725,134751,135283,135161,135259,136074,137212,138607,140168,142047,143771,145667,147625,149616,151801,154079,156354,158292,160278,161921,163401,164532,165680,166731,167622,168606,169362,170131,170840,171695,172629,173534,174352,175012,175870,177006,178240,179062,179826,180634,181525,182473,183452,184648,185802,187169,188594,189847,190670,191232,191753,192270,193247,194465,196178,197412,198756,199794,201007,202223,203600,205042,206204,207783,209307,211120,213030,215111,217134,218571,219949,221276,222711,224218,225737,227429,229163,230796,232295,233417,234509,235660,236894,237902,238304,238792,239499,240473,241269,242030,243116,244280,245762,246826,247884,248416,249274,250637,252755,255453,258415,261525,264860,268187,272101,276070,280841,286245,293004,300347,307755,314793,322182,329696,337484,344927,351698,358823,366221,373420,378763,381310,382303,382139,381587
"Phoenix, AZ",msa,AZ,141002,141374,141822,142703,143581,144247,144961,145638,146455,147155,147857,148548,149234,149911,150583,151240,151884,152514,153087,153678,154270,154941,155653,156271,156780,157226,157783,158373,158896,159546,160252,161169,161817,162487,163030,163735,164385,165106,165691,166381,167038,167802,168546,169398,170439,171447,172294,172977,173596,174474,175573,176886,178496,180182,,,188297,191067,193839,197689,201782,,212309,218456,225249,234575,244754,254514,264798,273249,281544,285712,287275,291245,296003,301489,303319,304006,302875,300338,296869,295440,293002,290918,288422,287104,286469,286301,286023,284725,282559,279729,276559,273599,269264,264906,260346,254711,248990,241737,236901,231768,226194,218823,211907,206529,199271,191982,185373,182180,178886,175482,171333,168242,165809,163773,161869,159106,158834,158921,159570,158442,157198,156834,156039,155304,152468,150454,147643,146330,144511,142765,140424,138627,137669,136131,134588,132811,132284,132107,132143,132333,132435,133738,134568,135843,136402,138989,142820,146971,150465,153752,157585,161072,164431,166398,169117,170945,173576,175165,177156,179947,183684,186693,189056,190676,191109,192621,194676,197776,198610,198202,197955,198180,198130,198182,197854,198169,199141,200442,201191,201853,203745,205663,207456,208185,209746,211117,212975,213965,214667,215236,217151,218902,220276,221244,222272,223231,223416,224045,225127,226863,228448,229243,230044,231390,233166,234497,235576,236700,238420,239382,240827,242111,243441,244229,245674,247937,250231,252029,253546,254855,256303,257778,259642,260834,261878,262847,264209,265484,266844,267701,268490,269269,270375,272228,273828,275483,277052,279071,281070,283120,286105,290169,292858,294577,296556,300919,306116,311340,316644,322714,329861,336104,344627,351345,363092,374385,387319,397497,405623,413254,419373,425407,431113,439646,448693,459972,468553,474802,472828,466772,457606,452554
